fas_before,fas_after,fs_before,fs_after
5.0000000,7.0,-1,0
6.0000000,8.0000000,-2,-3
4.000000,7.000000,0,1
4.0000000,6.0,3,1
2.0000000,4.000000,4,1
1.0000000,7.0000000,0,5
2.00000,3.0000000,0,0
7.0000000,7.0000000,3,-1
10.0000,11.000000,5,-4
10.0000000,1.0000000,5,0
8.0000000,9.0000000,5,1
2.0000000,4.000000,0,1
9.00000,10.0000000,0,3
2.000000,5.000000,3,-2
4.0000000,2.0000000,-5,0
5.0000000,9.0000000,0,-3
6.0000000,11.0000000,0,-4
3.00,4.0000000,3,-2
5.0000000,7.0000000,3,-3
5.0000000,7.00,0,-2
7.0000000,8.0000000,1,5
5.0000000,8.0,0,0
1.0000000,7.0000000,3,0
5.000000,8.000000,0,-2
6.0000000,7.00000,5,5
6.0000000,9.0000000,-2,-3
7.0000000,8.0000000,3,-1
